call_id,ticker,company_name,call_date,call_type,quarter,fiscal_year,speaker_name,speaker_role,transcript_text,confidence_score,_loaded_at
EC-019,TSLA,Tesla Inc.,2025-01-29,Earnings Call,4,2024,Elon Musk,CEO,We delivered a record number of vehicles in Q4 despite a challenging environment in the global EV market. Our energy generation and storage business more than doubled year over year. The timeline for Full Self-Driving and the Optimus robot program are both progressing faster than many expected with an outlook positive for significant milestones.,0.84,2025-01-30 08:00:00
EC-020,AAPL,Apple Inc.,2025-04-30,Earnings Call,2,2025,Tim Cook,CEO,We are experiencing strong growth in our emerging markets with India revenue reaching an all-time high. The Services ecosystem continues to deepen with paid subscriptions crossing 1 billion. Our silicon roadmap remains exceptionally competitive and we see strong growth in the AI capabilities across our entire product lineup.,0.93,2025-05-01 08:00:00
EC-021,MSFT,Microsoft Corp.,2025-04-29,Earnings Call,3,2025,Satya Nadella,CEO,Azure AI services are becoming the default platform for enterprise AI development with over 100000 organizations using Azure OpenAI. GitHub Copilot has fundamentally changed developer productivity. Our cloud growth remains strong at 31 percent and we see continued momentum from our AI and security offerings.,0.95,2025-04-30 08:00:00
EC-022,GOOGL,Alphabet Inc.,2025-04-29,Earnings Call,1,2025,Sundar Pichai,CEO,Our search and cloud businesses are both benefiting from AI with Gemini deeply integrated into all products. We see strong growth in enterprise adoption of our AI models and cloud infrastructure. YouTube advertising revenue grew 16 percent with subscriptions and other revenue also accelerating meaningfully.,0.91,2025-04-30 08:00:00
EC-023,NVDA,NVIDIA Corp.,2025-05-28,Earnings Call,1,2026,Jensen Huang,CEO,Data center revenue growth continues to accelerate as every major cloud provider and enterprise expands their AI infrastructure. Our new Blackwell Ultra platform is receiving exceptional customer feedback with performance improvements exceeding our projections. The AI infrastructure buildout across industries is the largest capital expenditure cycle we have witnessed.,0.98,2025-05-29 08:00:00
EC-024,AMZN,Amazon.com Inc.,2025-04-30,Earnings Call,1,2025,Andy Jassy,CEO,AWS remains the most comprehensive cloud platform with generative AI driving significant new customer acquisition. Our North America retail business achieved its highest operating margin in company history. The integration of AI across our fulfillment and logistics operations is delivering measurable improvements in efficiency and cost reduction.,0.93,2025-05-01 08:00:00
EC-025,META,Meta Platforms Inc.,2025-04-30,Earnings Call,1,2025,Mark Zuckerberg,CEO,Our open source Llama models continue to set industry benchmarks and are being used by millions of developers worldwide. Reality Labs is approaching a meaningful inflection point with our AR glasses roadmap and the Metaverse becoming more tangible. The advertising platform AI improvements are driving measurable ROI increases for our advertising partners.,0.90,2025-05-01 08:00:00
EC-026,TSLA,Tesla Inc.,2025-04-24,Earnings Call,1,2025,Elon Musk,CEO,We face continued headwinds from tariff uncertainty and margin pressure in our automotive segment. However our energy business has become a major growth driver with gigawatt-scale deployments. The autonomous driving fleet is expanding rapidly and we expect to launch unsupervised Full Self-Driving in select markets by the end of this year.,0.81,2025-04-25 08:00:00
EC-027,AAPL,Apple Inc.,2025-07-30,Earnings Call,3,2025,Tim Cook,CEO,iPhone revenue grew 6 percent year over year with the iPhone 16 family continuing to perform exceptionally well. Our AI features are resonating strongly with customers driving higher upgrade intent. We see strong growth ahead as Apple Intelligence expands to more languages and devices across our ecosystem.,0.92,2025-07-31 08:00:00
EC-028,MSFT,Microsoft Corp.,2025-07-29,Earnings Call,4,2025,Satya Nadella,CEO,Azure reached a major milestone with revenue exceeding 50 billion in a single quarter for the first time. Our AI platform is now generating revenue at a run rate that makes it one of the fastest-growing enterprise software businesses ever. Copilot adoption across Microsoft 365 continues to accelerate with meaningful improvements in user productivity metrics.,0.96,2025-07-30 08:00:00
EC-029,NVDA,NVIDIA Corp.,2025-08-27,Earnings Call,2,2026,Jensen Huang,CEO,The age of physical AI has arrived with our Omniverse and robotics platforms gaining significant traction across manufacturing and logistics. Data center revenue exceeded 60 billion this quarter as enterprises continue to scale their AI compute capacity. We are seeing the broadest and deepest AI adoption cycle in the history of computing.,0.98,2025-08-28 08:00:00
EC-030,GOOGL,Alphabet Inc.,2025-07-29,Earnings Call,2,2025,Sundar Pichai,CEO,Cloud revenue growth reaccelerated to 32 percent with AI infrastructure demand remaining exceptionally strong. Our Search generative experience is being rolled out to all users globally with positive engagement trends. We see continued strong growth ahead across all major business segments with AI as the primary driver.,0.91,2025-07-30 08:00:00
EC-031,META,Meta Platforms Inc.,2025-07-29,Earnings Call,2,2025,Mark Zuckerberg,CEO,Our advertising efficiency gains from AI are driving revenue growth well beyond what traditional improvements could achieve. WhatsApp business messaging is becoming a major revenue stream with millions of businesses now using the platform. We expect to reduce our workforce costs significantly through AI automation while increasing output across engineering and operations.,0.90,2025-07-30 08:00:00
EC-032,AMZN,Amazon.com Inc.,2025-07-31,Earnings Call,2,2025,Andy Jassy,CEO,AWS AI services revenue tripled year over year with Amazon Bedrock becoming the fastest-growing service in our cloud history. Our advertising business delivered 26 percent revenue growth with significant margin expansion. We are making meaningful progress on reducing our cost-to-serve in retail while simultaneously improving delivery speed through our AI-powered logistics optimization.,0.94,2025-08-01 08:00:00
EC-033,TSLA,Tesla Inc.,2025-07-24,Earnings Call,2,2025,Elon Musk,CEO,Despite a challenging environment with ongoing margin pressure we are making strategic investments in next-generation vehicle platforms. Our energy storage deployments are growing exponentially with demand exceeding supply by a wide margin. The robotaxi program remains on track and we are preparing for initial deployment in a limited number of cities later this year with strong growth ahead.,0.80,2025-07-25 08:00:00
